                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.92335,                0.90744,                 1.3008,                0.80339,                0.69972,                0.75498,                0.54935,                 1.0194,                 1.0338,                 1.4542,              0.0011224,              0.0011224,              0.0011224
                     36,                0.85436,                0.82796,                 1.2615,                0.81138,                0.69439,                0.77085,                0.55572,                 1.0079,                0.96028,                 1.4415,              0.0011059,              0.0011059,              0.0011059
                     37,                0.87617,                0.83878,                 1.2485,                0.84758,                0.70629,                 0.7875,                0.57559,                 0.9922,                 1.0579,                 1.4155,              0.0010894,              0.0010894,              0.0010894
                     38,                0.83353,                0.83751,                 1.2304,                0.82364,                0.68926,                0.78036,                0.53834,                 1.0717,                 1.1015,                 1.5102,              0.0010729,              0.0010729,              0.0010729
                     39,                0.85514,                0.81734,                 1.2599,                 0.8895,                0.65814,                0.78832,                0.56215,                0.96661,                   1.02,                 1.4264,              0.0010564,              0.0010564,              0.0010564
                     40,                0.84289,                0.83171,                 1.2347,                0.81167,                0.69669,                0.77115,                0.56246,                0.97187,                0.94303,                 1.4009,              0.0010399,              0.0010399,              0.0010399
                     41,                0.85653,                0.80365,                 1.2594,                0.86365,                 0.7118,                0.78731,                0.58019,                0.98606,                0.93122,                 1.3986,              0.0010234,              0.0010234,              0.0010234
                     42,                0.86381,                0.85287,                 1.2659,                0.86908,                0.69661,                0.80127,                0.58493,                0.97574,                0.92919,                  1.414,              0.0010069,              0.0010069,              0.0010069
                     43,                0.83911,                0.81277,                 1.2614,                0.78041,                 0.7215,                0.78564,                0.57241,                 1.0328,                0.95036,                 1.4479,             0.00099036,             0.00099036,             0.00099036
                     44,                0.83969,                0.78476,                 1.2368,                0.79294,                 0.7014,                0.77693,                0.55498,                 1.0939,                0.98116,                 1.5494,             0.00097386,             0.00097386,             0.00097386
                     45,                0.79101,                0.76963,                 1.2001,                0.84372,                0.70787,                0.79652,                0.56273,                 1.0213,                0.90636,                 1.4401,             0.00095736,             0.00095736,             0.00095736
                     46,                0.80234,                0.76587,                 1.2056,                0.83186,                0.69921,                0.77204,                0.56548,                0.97154,                0.88566,                 1.4045,             0.00094085,             0.00094085,             0.00094085
                     47,                0.82734,                0.76483,                 1.2207,                0.80602,                 0.7385,                0.79377,                0.55123,                 1.1221,                0.97403,                 1.5657,             0.00092435,             0.00092435,             0.00092435
                     48,                0.79166,                0.77363,                  1.207,                0.82858,                0.74209,                0.81272,                0.57459,                 1.0702,                0.88979,                 1.5063,             0.00090785,             0.00090785,             0.00090785
